Date,Equity,Fixed Income
2011-02-28,1939.3,132.037007
2011-03-31,2109.74,133.065353
2011-04-29,2195.53,133.501643
2011-05-31,2145.57,134.81157
2011-06-30,2106.74,134.904754
2011-07-29,2139.36,135.422568
2011-08-31,1885.52,137.138399
2011-09-30,1774.76,137.068556
2011-10-31,1914.55,137.765242
2011-11-30,1852.84,138.86058
2011-12-29,1851.9,139.278137
2012-01-31,1983.79,139.887027
2012-02-29,2059.31,140.20918
2012-03-30,2045.65,140.278578
2012-04-30,2013.09,141.327949
2012-05-31,1872.4,142.351176
2012-06-29,1884,142.796687
2012-07-31,1912.42,145.662299
2012-08-31,1935.93,146.656753
2012-09-28,2028.5,146.964509
2012-10-31,1942.99,147.594564
2012-11-30,1964.17,147.617334
2012-12-28,2050.7,147.473047
2013-01-31,2014.63,148.366392
2013-02-28,2080.92,149.378523
2013-03-29,2060.45,150.261905
2013-04-30,2018.37,150.881808
2013-05-31,2056.51,149.704556
2013-06-28,1915.88,148.713788
2013-07-31,1968.02,148.909963
2013-08-30,1980.69,149.383422
2013-09-30,2053.3,150.219427
2013-10-31,2087.37,150.597856
2013-11-29,2102.56,149.815802
2013-12-30,2089.7,150.774117
2014-01-29,2016.77,151.179151
2014-02-28,2057.12,152.129951
2014-03-31,2063.04,152.482966
2014-04-30,2038.27,152.911453
2014-05-30,2072.75,154.171692
2014-06-30,2081.13,155.409795
2014-07-31,2157.92,156.494424
2014-08-29,2150.02,157.014161
2014-09-30,2099.67,158.671657
2014-10-31,2041.82,160.104035
2014-11-28,2058.8,160.766533
2014-12-30,2016.75,160.898984
2015-01-30,2052.21,163.177362
2015-02-27,2090.69,162.864351
2015-03-31,2148.91,164.771037
2015-04-30,2239.6,163.535328
2015-05-29,2226.6,164.459393
2015-06-30,2185.65,164.078324
2015-07-31,2139.25,164.649034
2015-08-31,2045.82,165.649068
2015-09-30,2068.32,167.301832
2015-10-30,2138.58,167.281383
2015-11-30,2099.06,166.435371
2015-12-30,2094.25,167.821328
2016-01-29,2041.67,168.921427
2016-02-29,2046.56,170.437818
2016-03-31,2137.05,170.664924
2016-04-29,2135.05,170.981565
2016-05-31,2123.6,171.108907
2016-06-30,2110.7,173.700563
2016-07-29,2160.12,174.54532
2016-08-31,2179.86,174.111751
2016-09-30,2189.46,174.681868
2016-10-31,2151.5,172.904452
2016-11-30,2125.18,170.151692
2016-12-29,2203.43,170.748522
2017-01-31,2248.13,170.914068
2017-02-28,2274.29,171.216794
2017-03-31,2353.54,171.119174
2017-04-28,2404.32,171.431742
2017-05-31,2559.45,171.570882
2017-06-30,2609.47,171.997435
2017-07-31,2623.31,172.354253
2017-08-31,2580.33,172.312243
2017-09-29,2614.66,171.993629
2017-10-31,2755.56,170.441671
2017-11-30,2705.93,171.642996
2017-12-28,2733.87,171.788048
2018-01-31,2843.5,170.51685
2018-02-28,2689.38,170.936672
2018-03-30,2714.69,172.001118
2018-04-30,2792.35,171.919368
2018-05-31,2689.82,172.478333
2018-06-29,2585.83,173.786122
2018-07-31,2551.66,174.194039
2018-08-31,2584.74,176.649485
2018-09-28,2609.19,176.372294
2018-10-31,2260.22,177.64208
2018-11-30,2337.62,179.041234
2018-12-28,2313.3,179.963197
2019-01-31,2498.98,179.996579
2019-02-28,2488.29,180.280351
2019-03-29,2432.21,182.190449
2019-04-30,2504,182.440667
2019-05-31,2320.16,184.271273
2019-06-28,2426.98,185.265054
2019-07-31,2306.56,187.9565
2019-08-30,2241.78,188.977095
2019-09-30,2354.7,187.659256
2019-10-31,2378.09,185.47031
2019-11-29,2383.23,186.805257
2019-12-30,2545.87,186.398251
2020-01-31,2454.74,187.661632
2020-02-28,2301.83,190.157474
2020-03-31,2037.34,187.970955
2020-04-29,2260.65,188.617142
2020-05-29,2355.77,190.503023
2020-06-30,2453.13,190.18274
2020-07-31,2617.23,191.451857
2020-08-31,2706.41,189.781343
2020-09-29,2711.79,191.12669
2020-10-30,2641.19,190.338717
2020-11-30,3018.79,189.696847
2020-12-30,3385.8,189.311538
2021-01-29,3506.85,189.273273
2021-02-26,3550.19,187.933519
2021-03-31,3631.58,187.163626
2021-04-30,3733.36,186.737572
2021-05-31,3800.13,186.448506
2021-06-30,3915.15,186.996082
2021-07-30,3805.26,189.256325
2021-08-31,3802.67,189.396359
2021-09-30,3651.82,186.735214
2021-10-29,3535.39,183.469255
2021-11-30,3379.57,186.896418
2021-12-30,3582.31,186.601722
2022-01-28,3204.18,184.016555
2022-02-28,3247.32,183.470962
2022-03-31,3333.84,181.099904
2022-04-29,3258.89,178.498372
2022-05-31,3248.14,178.553462
2022-06-30,2828.02,175.37269
2022-07-29,2972.86,179.953511
2022-08-31,2998.17,175.095592
2022-09-30,2619.03,172.144533
2022-10-31,2787.88,170.91139
2022-11-30,3005.41,174.670961
2022-12-29,2764.7,175.904177
2023-01-31,2997.94,181.013187
2023-02-28,2982.83,178.181651
2023-03-31,3065.24,181.999625
2023-04-28,3095.17,182.574238
2023-05-31,3188.56,181.377828
2023-06-30,3181.19,180.892262
2023-07-31,3265.78,181.264862
2023-08-31,3171.92,181.475288
2023-09-27,3064.31,180.510605
2023-10-31,2833.03,179.261873
2023-11-30,3153.2,184.66028
2023-12-28,3329.86,189.489914
2024-01-31,3131.54,188.522249
2024-02-29,3320.72,188.137788
2024-03-29,3468.99,189.569051
